Sno,Institute Name,State,District,Type,Affiliating University,Program,Level,Course,Acred. Till,Intake
996,BVRIT HYDERABAD COLLEGE OF ENGINEERING FOR WOMEN,Telangana,HYDERABAD,Private-Self Financing,"Jawaharlal Nehru Technological University, Hyderabad",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,30-06-2021,120
997,BVRIT HYDERABAD COLLEGE OF ENGINEERING FOR WOMEN,Telangana,HYDERABAD,Private-Self Financing,"Jawaharlal Nehru Technological University, Hyderabad",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,30-06-2021,60
998,BVRIT HYDERABAD COLLEGE OF ENGINEERING FOR WOMEN,Telangana,HYDERABAD,Private-Self Financing,"Jawaharlal Nehru Technological University, Hyderabad",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,COMPUTER SCIENCE & ENGINEERING,30-06-2021,180
999,BVRIT HYDERABAD COLLEGE OF ENGINEERING FOR WOMEN,Telangana,HYDERABAD,Private-Self Financing,"Jawaharlal Nehru Technological University, Hyderabad",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,INFORMATION TECHNOLOGY,30-06-2021,120
1000,R V COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,MECHANICAL ENGINEERING,30-06-2021,120
1001,R V COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,30-06-2024,60
1002,R V COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,INDUSTRIAL ENGINEERING AND MANAGEMENT,30-06-2024,60
1003,R V COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRONICS AND INSTRUMENTATION ENGINEERING,30-06-2024,60
1004,R V COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,CHEMICAL ENGINEERING,30-06-2021,40
1005,R V COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,INFORMATION SCIENCE AND ENGINEERING,30-06-2024,60
1006,R V COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,BIOTECHNOLOGY,30-06-2021,60
1007,R V COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,POST GRADUATE,PRODUCT DESIGN AND MANUFACTURING,30-06-2022,36
1008,R V COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,POST GRADUATE,VLSI DESIGN AND EMBEDDED SYSTEMS,30-06-2022,36
1009,R V COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,POST GRADUATE,COMPUTER NETWORKING AND ENGINEERING,30-06-2021,18
1010,R V COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,POST GRADUATE,POWER ELECTRONICS,30-06-2021,18
1011,R V COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,POST GRADUATE,COMMUNICATION SYSTEMS,30-06-2022,18
1012,R V COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,POST GRADUATE,SOFTWARE ENGINEERING,30-06-2022,18
1013,R V COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,POST GRADUATE,HIGHWAY TECHNOLOGY,30-06-2021,18
1014,R V COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,30-06-2021,60
1015,R V COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,POST GRADUATE,DIGITAL COMMUNICATION,30-06-2021,36
1016,R V COLLEGE OF ENGINEERING,Karnataka,BANGALORE URBAN,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,POST GRADUATE,RADIO FREQUENCY AND MICROWAVE ENGINEERING,30-06-2022,18
1017,ZAGDU SINGH CHARITABLE TRUST S THAKUR POLYTECHNIC,Maharashtra,MUMBAI SUBURBAN,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",ENGINEERING AND TECHNOLOGY,DIPLOMA,COMPUTER ENGINEERING,30-06-2023,120
1018,ZAGDU SINGH CHARITABLE TRUST S THAKUR POLYTECHNIC,Maharashtra,MUMBAI SUBURBAN,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",ENGINEERING AND TECHNOLOGY,DIPLOMA,INFORMATION TECHNOLOGY,30-06-2023,60
1019,ZAGDU SINGH CHARITABLE TRUST S THAKUR POLYTECHNIC,Maharashtra,MUMBAI SUBURBAN,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",ENGINEERING AND TECHNOLOGY,DIPLOMA,ELECTRONICS & TELE-COMMUNICATION ENGINEERING,30-06-2023,60
1020,ZAGDU SINGH CHARITABLE TRUST S THAKUR POLYTECHNIC,Maharashtra,MUMBAI SUBURBAN,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",ENGINEERING AND TECHNOLOGY,DIPLOMA,MECHANICAL ENGINEERING,30-06-2023,120
1021,RNS INSTITUTE OF TECHNOLOGY,Karnataka,BANGALORE URBAN,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,30-06-2021,180
1022,RNS INSTITUTE OF TECHNOLOGY,Karnataka,BANGALORE URBAN,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,30-06-2021,180
1023,RNS INSTITUTE OF TECHNOLOGY,Karnataka,BANGALORE URBAN,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,INFORMATION SCIENCE AND ENGINEERING,30-06-2021,180
1024,RNS INSTITUTE OF TECHNOLOGY,Karnataka,BANGALORE URBAN,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,30-06-2021,60
1025,RNS INSTITUTE OF TECHNOLOGY,Karnataka,BANGALORE URBAN,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRONICS AND INSTRUMENTATION ENGINEERING,30-06-2021,60
1026,SRI VENKATESWARA COLLEGE OF PHARMACY,Andhra Pradesh,CHITTOOR,Private-Self Financing,"Jawaharlal Nehru Technological University, Anantapur",PHARMACY,UNDER GRADUATE,PHARMACY,30-06-2022,100
1027,SEVEN HILLS COLLEGE OF PHARMACY,Andhra Pradesh,CHITTOOR,Private-Self Financing,"Jawaharlal Nehru Technological University, Anantapur",PHARMACY,UNDER GRADUATE,PHARMACY,30-06-2022,100
1028,AJAY KUMAR GARG ENGINEERING COLLEGE,Uttar Pradesh,GHAZIABAD,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,30-06-2022,180
1029,AJAY KUMAR GARG ENGINEERING COLLEGE,Uttar Pradesh,GHAZIABAD,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,30-06-2022,180
1030,AJAY KUMAR GARG ENGINEERING COLLEGE,Uttar Pradesh,GHAZIABAD,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,30-06-2022,120
1031,AJAY KUMAR GARG ENGINEERING COLLEGE,Uttar Pradesh,GHAZIABAD,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,INFORMATION TECHNOLOGY,30-06-2022,180
1032,AJAY KUMAR GARG ENGINEERING COLLEGE,Uttar Pradesh,GHAZIABAD,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,MECHANICAL ENGINEERING,30-06-2022,120
1033,COLLEGE OF ENGINEERING PUNE,Maharashtra,PUNE,Government,"University of Pune, Pune",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,COMPUTER ENGINEERING,30-06-2021,120
1034,COLLEGE OF ENGINEERING PUNE,Maharashtra,PUNE,Government,"University of Pune, Pune",ENGINEERING AND TECHNOLOGY,POST GRADUATE,COMPUTER ENGINEERING,30-06-2021,18
1035,COLLEGE OF ENGINEERING PUNE,Maharashtra,PUNE,Government,"University of Pune, Pune",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,INSTRUMENTATION & CONTROL ENGINEERING,30-06-2021,30
1036,COLLEGE OF ENGINEERING PUNE,Maharashtra,PUNE,Government,"University of Pune, Pune",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRICAL ENGINEERING,30-06-2021,60
1037,COLLEGE OF ENGINEERING PUNE,Maharashtra,PUNE,Government,"University of Pune, Pune",ENGINEERING AND TECHNOLOGY,POST GRADUATE,POWER ELECTRONICS AND POWER SYSTEMS,31-07-2021,18
1038,COLLEGE OF ENGINEERING PUNE,Maharashtra,PUNE,Government,"University of Pune, Pune",ENGINEERING AND TECHNOLOGY,POST GRADUATE,EMBEDDED CONTROL SYSTEMS,31-07-2021,18
1039,COLLEGE OF ENGINEERING PUNE,Maharashtra,PUNE,Government,"University of Pune, Pune",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,MANUFACTURING SCIENCE AND ENGINEERING,31-07-2021,60
1040,COLLEGE OF ENGINEERING PUNE,Maharashtra,PUNE,Government,"University of Pune, Pune",ENGINEERING AND TECHNOLOGY,POST GRADUATE,MECHATRONICS,30-06-2022,18
1041,COLLEGE OF ENGINEERING PUNE,Maharashtra,PUNE,Government,"University of Pune, Pune",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,MECHANICAL ENGINEERING,31-07-2021,120
1042,COLLEGE OF ENGINEERING PUNE,Maharashtra,PUNE,Government,"University of Pune, Pune",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,CIVIL ENGINEERING,31-07-2021,60
1043,COLLEGE OF ENGINEERING PUNE,Maharashtra,PUNE,Government,"University of Pune, Pune",ENGINEERING AND TECHNOLOGY,POST GRADUATE,CONSTRUCTION MANAGEMENT,30-06-2025,18
1044,COLLEGE OF ENGINEERING PUNE,Maharashtra,PUNE,Government,"University of Pune, Pune",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,METALLURGY AND MATERIAL TECHNOLOGY,31-07-2021,60
1045,COLLEGE OF ENGINEERING PUNE,Maharashtra,PUNE,Government,"University of Pune, Pune",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRONICS & TELE-COMMUNICATION ENGINEERING,31-07-2021,60
1046,COLLEGE OF ENGINEERING PUNE,Maharashtra,PUNE,Government,"University of Pune, Pune",ENGINEERING AND TECHNOLOGY,POST GRADUATE,SIGNAL PROCESSING,30-06-2025,18
1047,COLLEGE OF ENGINEERING PUNE,Maharashtra,PUNE,Government,"University of Pune, Pune",ENGINEERING AND TECHNOLOGY,POST GRADUATE,DIGITAL SYSTEMS,31-07-2021,18
1048,COLLEGE OF ENGINEERING PUNE,Maharashtra,PUNE,Government,"University of Pune, Pune",ENGINEERING AND TECHNOLOGY,POST GRADUATE,VLSI AND EMBEDDED SYSTEMS,31-07-2021,18
1049,COLLEGE OF ENGINEERING PUNE,Maharashtra,PUNE,Government,"University of Pune, Pune",ENGINEERING AND TECHNOLOGY,POST GRADUATE,WIRED AND WIRELESS COMMUNICATION,31-07-2021,18
1050,COLLEGE OF ENGINEERING PUNE,Maharashtra,PUNE,Government,"University of Pune, Pune",ENGINEERING AND TECHNOLOGY,POST GRADUATE,AUTOMOTIVE TECHNOLOGY,30-06-2022,36
1051,COLLEGE OF ENGINEERING PUNE,Maharashtra,PUNE,Government,"University of Pune, Pune",ENGINEERING AND TECHNOLOGY,POST GRADUATE,PROJECT MANAGEMENT,30-06-2025,18
1052,COLLEGE OF ENGINEERING PUNE,Maharashtra,PUNE,Government,"University of Pune, Pune",ENGINEERING AND TECHNOLOGY,POST GRADUATE,ENVIRONMENT AND WATER RESOURCE ENGINEERING,30-06-2025,18
1053,JAGAN INSTITUTE OF MANAGEMENT STUDIES TECHNICAL CAMPUS,Delhi,NORTH WEST DELHI,Private-Self Financing,"Guru Gobind Singh Indraprastha University, Delhi",MCA,POST GRADUATE,MASTERS IN COMPUTER APPLICATIONS,30-06-2021,120
1054,AMRUTVAHINI COLLEGE OF PHARMACY SANGAMNER,Maharashtra,AHMEDNAGAR,Private-Self Financing,"University of Pune, Pune",PHARMACY,UNDER GRADUATE,PHARMACY,30-06-2022,100
1055,GANDHI INSTITUTE FOR TECHNOLOGY GIFT BHUBANESWAR,Odisha,KHORDHA,Private-Self Financing,"Biju Patnaik University of Technology, Bhubaneswar",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,30-06-2021,180
1056,GANDHI INSTITUTE FOR TECHNOLOGY GIFT BHUBANESWAR,Odisha,KHORDHA,Private-Self Financing,"Biju Patnaik University of Technology, Bhubaneswar",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,30-06-2024,60
1057,GANDHI INSTITUTE FOR TECHNOLOGY GIFT BHUBANESWAR,Odisha,KHORDHA,Private-Self Financing,"Biju Patnaik University of Technology, Bhubaneswar",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,30-06-2021,60
1058,GANDHI INSTITUTE FOR TECHNOLOGY GIFT BHUBANESWAR,Odisha,KHORDHA,Private-Self Financing,"Biju Patnaik University of Technology, Bhubaneswar",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,MECHANICAL ENGINEERING,30-06-2024,120
1059,LORDS INSTITUTE OF ENGINEERING AND TECHNOLOGY,Telangana,HYDERABAD,Private-Self Financing,"Osmania University, Hyderabad",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,MECHANICAL ENGINEERING,30-06-2023,120
1060,LORDS INSTITUTE OF ENGINEERING AND TECHNOLOGY,Telangana,HYDERABAD,Private-Self Financing,"Osmania University, Hyderabad",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,30-06-2023,120
1061,LORDS INSTITUTE OF ENGINEERING AND TECHNOLOGY,Telangana,HYDERABAD,Private-Self Financing,"Osmania University, Hyderabad",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,30-06-2023,180
1062,ANAND PHARMACY COLLEGE,Gujarat,ANAND,Private-Self Financing,"Gujarat Technological University, Ahmedabad",PHARMACY,UNDER GRADUATE,PHARMACY,30-06-2021,100
1063,AVN INSTITUTE OF ENGINEERING TECHNOLOGY,Telangana,RANGAREDDI,Private-Self Financing,"Jawaharlal Nehru Technological University, Hyderabad",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,CIVIL ENGINEERING,30-06-2022,60
1064,AVN INSTITUTE OF ENGINEERING TECHNOLOGY,Telangana,RANGAREDDI,Private-Self Financing,"Jawaharlal Nehru Technological University, Hyderabad",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,30-06-2022,180
1065,AVN INSTITUTE OF ENGINEERING TECHNOLOGY,Telangana,RANGAREDDI,Private-Self Financing,"Jawaharlal Nehru Technological University, Hyderabad",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,30-06-2022,120
1066,SRI RAMAKRISHNA ENGINEERING COLLEGE,Tamil Nadu,COIMBATORE,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,MECHANICAL ENGINEERING,30-06-2022,90
1067,SRI RAMAKRISHNA ENGINEERING COLLEGE,Tamil Nadu,COIMBATORE,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,30-06-2022,180
1068,SRI RAMAKRISHNA ENGINEERING COLLEGE,Tamil Nadu,COIMBATORE,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,30-06-2022,180
1069,SRI RAMAKRISHNA ENGINEERING COLLEGE,Tamil Nadu,COIMBATORE,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,BIOMEDICAL ENGINEERING,30-06-2022,60
1070,SRI RAMAKRISHNA ENGINEERING COLLEGE,Tamil Nadu,COIMBATORE,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,INFORMATION TECHNOLOGY,30-06-2021,120
1071,SRI RAMAKRISHNA ENGINEERING COLLEGE,Tamil Nadu,COIMBATORE,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,30-06-2022,90
1072,SRI RAMAKRISHNA ENGINEERING COLLEGE,Tamil Nadu,COIMBATORE,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRONICS AND INSTRUMENTATION ENGINEERING,30-06-2022,60
1073,K S RANGASAMY COLLEGE OF TECHNOLOGY,Tamil Nadu,NAMAKKAL,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,30-06-2021,60
1074,K S RANGASAMY COLLEGE OF TECHNOLOGY,Tamil Nadu,NAMAKKAL,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,30-06-2022,120
1075,K S RANGASAMY COLLEGE OF TECHNOLOGY,Tamil Nadu,NAMAKKAL,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,INFORMATION TECHNOLOGY,30-06-2022,120
1076,K S RANGASAMY COLLEGE OF TECHNOLOGY,Tamil Nadu,NAMAKKAL,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,TEXTILE TECHNOLOGY,30-06-2022,60
1077,K S RANGASAMY COLLEGE OF TECHNOLOGY,Tamil Nadu,NAMAKKAL,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,BIOTECHNOLOGY,30-06-2021,60
1078,K S RANGASAMY COLLEGE OF TECHNOLOGY,Tamil Nadu,NAMAKKAL,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,CIVIL ENGINEERING,30-06-2021,30
1079,K S RANGASAMY COLLEGE OF TECHNOLOGY,Tamil Nadu,NAMAKKAL,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,COMPUTER SCIENCE & ENGINEERING,30-06-2021,120
1080,DON BOSCO INSTITUTE OF TECHNOLOGY,Karnataka,BANGALORE URBAN,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,30-06-2022,180
1081,DON BOSCO INSTITUTE OF TECHNOLOGY,Karnataka,BANGALORE URBAN,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,30-06-2022,180
1082,DON BOSCO INSTITUTE OF TECHNOLOGY,Karnataka,BANGALORE URBAN,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,INFORMATION SCIENCE AND ENGINEERING,30-06-2022,180
1083,DON BOSCO INSTITUTE OF TECHNOLOGY,Karnataka,BANGALORE URBAN,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,MECHANICAL ENGINEERING,30-06-2022,120
1084,DON BOSCO INSTITUTE OF TECHNOLOGY,Karnataka,BANGALORE URBAN,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,30-06-2022,60
1085,GM INSTITUTE OF TECHNOLOGY,Karnataka,DAVANAGERE,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,MECHANICAL ENGINEERING,30-06-2022,120
1086,GM INSTITUTE OF TECHNOLOGY,Karnataka,DAVANAGERE,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,CIVIL ENGINEERING,30-06-2022,60
1087,GM INSTITUTE OF TECHNOLOGY,Karnataka,DAVANAGERE,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,30-06-2022,120
1088,GM INSTITUTE OF TECHNOLOGY,Karnataka,DAVANAGERE,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,COMPUTER SCIENCE & ENGINEERING,30-06-2022,120
1089,NAGARJUNA COLLEGE OF ENGINEERING AND TECHNOLOGY,Karnataka,BANGALORE RURAL,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,CIVIL ENGINEERING,30-06-2021,120
1090,NAGARJUNA COLLEGE OF ENGINEERING AND TECHNOLOGY,Karnataka,BANGALORE RURAL,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,30-06-2021,120
1091,NAGARJUNA COLLEGE OF ENGINEERING AND TECHNOLOGY,Karnataka,BANGALORE RURAL,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,INFORMATION SCIENCE AND ENGINEERING,30-06-2021,60
1092,JNTUH COLLEGE OF ENGINEERING HYDERABAD,Telangana,RANGAREDDI,Government,"Jawaharlal Nehru Technological University, Hyderabad",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,30-06-2022,60
1093,JNTUH COLLEGE OF ENGINEERING HYDERABAD,Telangana,RANGAREDDI,Government,"Jawaharlal Nehru Technological University, Hyderabad",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,METALLURGICAL ENGINEERING,30-06-2022,60
1094,JNTUH COLLEGE OF ENGINEERING HYDERABAD,Telangana,RANGAREDDI,Government,"Jawaharlal Nehru Technological University, Hyderabad",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,CIVIL ENGINEERING,30-06-2022,60
1095,JNTUH COLLEGE OF ENGINEERING HYDERABAD,Telangana,RANGAREDDI,Government,"Jawaharlal Nehru Technological University, Hyderabad",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,COMPUTER SCIENCE & ENGINEERING,30-06-2022,60
1096,RAO BAHADUR Y MAHABALESWARAPPA ENGINEERING COLLEGE,Karnataka,BELLARY,Private-Self Financing,"Visvesvaraya?Technological University, Belgaum",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,30-06-2023,180
1097,PSIT-PRANVEER SINGH INSTITUTE OF TECHNOLOGY,Uttar Pradesh,KANPUR NAGAR,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,COMPUTER SCIENCE & ENGINEERING,30-06-2022,240
1098,PSIT-PRANVEER SINGH INSTITUTE OF TECHNOLOGY,Uttar Pradesh,KANPUR NAGAR,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,30-06-2022,60
1099,PSIT-PRANVEER SINGH INSTITUTE OF TECHNOLOGY,Uttar Pradesh,KANPUR NAGAR,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,30-06-2022,120
1100,MODEL ENGINEERING COLLEGE,Kerala,ERNAKULAM,Government,"APJ Abdul Kalam Technological University, Kerala",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRONICS AND BIOMEDICAL ENGINEERING,30-06-2022,60
1101,MODEL ENGINEERING COLLEGE,Kerala,ERNAKULAM,Government,"APJ Abdul Kalam Technological University, Kerala",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,30-06-2022,60
1102,MODEL ENGINEERING COLLEGE,Kerala,ERNAKULAM,Government,"APJ Abdul Kalam Technological University, Kerala",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,30-06-2022,120
1103,CHRISTIAN COLLEGE OF ENGINEERING AND TECHNOLOGY,Chhattisgarh,DURG,Private-Self Financing,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,MECHANICAL ENGINEERING,30-06-2021,54
